"_id","pk_teuna_fikt","sug_tik","THUM_GEOGRAFI","SUG_DEREH","SEMEL_YISHUV","REHOV1","REHOV2","BAYIT","ZOMET_IRONI","KVISH1","KVISH2","KM","ZOMET_LO_IRONI","YEHIDA","SHNAT_TEUNA","HODESH_TEUNA","SHAA","SUG_YOM","YOM_LAYLA","YOM_BASHAVUA","HUMRAT_TEUNA","SUG_TEUNA","HAD_MASLUL","RAV_MASLUL","MEHIRUT_MUTERET","TKINUT","ROHAV","SIMUN_TIMRUR","TEURA","MEZEG_AVIR","PNE_KVISH","SUG_EZEM","MERHAK_EZEM","LO_HAZA","OFEN_HAZIYA","MEKOM_HAZIYA","KIVUN_HAZIYA","MAHOZ","NAFA","EZOR_TIVI","MAAMAD_MINIZIPALI","ZURAT_ISHUV","STATUS_IGUN","X","Y"
"39","2021000194","1","1","3","0",,,,,"3922","0","5","9110","38","2021","11","49","4","1","4","3","2","0","3","4","1","4","3","1","1","1","9","9","9","0","0","9","4","44","441","99","99","1","177455","633923"
"40","2021000204","1","1","1","5000","407","461",,"20312",,,,,"20","2021","2","80","4","5","4","3","2","0","1","1","1","4","3","6","1","1","9","9","9","0","0","9","5","51","511","0","13","1","178861","667001"
"41","2021000208","1","1","2","5000","839",,"27",,,,,,"20","2021","7","27","4","1","3","3","7","1","0","1","0","2","3","1","1","1","9","9","9","0","0","9","5","51","511","0","13","1","180834","666917"
"42","2021000214","1","1","2","8700","465",,"9999",,,,,,"51","2021","7","32","4","1","5","3","2","0","3","1","1","3","3","1","1","1","9","9","9","0","0","9","4","42","421","0","15","3","185617","677294"
"43","2021000230","1","1","4","0",,,,,"20","0","54",,"20","2021","4","57","4","1","3","3","3","1","0","3","1","4","3","1","1","1","9","9","9","0","0","9","5","51","513","99","99","1","177328","655951"
"44","2021000234","1","1","1","8600","1714","1704",,"250232",,,,,"20","2021","6","59","4","1","1","2","11","9","0","0","0","0","5","11","9","9","9","9","9","0","0","9","5","51","512","0","14","1","182750","661679"
"45","2021000243","1","1","2","70","852",,"89",,,,,,"38","2021","1","74","4","5","1","3","1","0","2","1","0","1","3","3","1","1","9","9","9","3","3","1","6","61","613","0","13","1","166254","633060"
"46","2021000250","1","1","1","5000","1979","1650",,"18700711",,,,,"20","2021","3","95","3","5","2","3","2","1","0","1","1","2","3","3","1","1","9","9","9","0","0","9","5","51","511","0","13","1","177316","662137"
"47","2021000255","1","1","3","0",,,,,"40","531","3012","4198","51","2021","2","78","4","5","4","3","1","0","3","2","1","3","3","3","1","1","9","9","9","3","4","1","4","42","421","99","99","1","193234","674619"
"48","2021000258","1","2","4","0",,,,,"60","0","679",,"43","2021","2","27","4","5","2","3","2","2","0","2","1","2","2","6","1","1","9","9","9","0","0","9","7","77","777","99","99","1","212666","614877"
"49","2021000266","1","1","1","2600","139","105",,"7480001",,,,,"33","2021","12","69","4","5","4","2","1","0","2","1","1","2","3","3","1","1","9","9","9","3","3","9","6","62","625","0","15","1","194476","385491"
"50","2021000269","1","1","1","5000","2215","1101",,"13110533",,,,,"20","2021","1","64","4","1","2","3","2","3","0","1","1","2","3","1","1","1","9","9","9","0","0","9","5","51","511","0","13","1","178457","663222"
"51","2021000283","1","1","2","825","9000",,"239",,,,,,"61","2021","7","31","4","1","5","3","5","3","0","1","1","2","4","1","1","1","9","9","9","0","0","9","1","11","111","26","31","2","205521","628047"
"52","2021000290","1","1","4","0",,,,,"75","0","371",,"11","2021","2","26","4","5","4","3","5","0","2","3","1","2","3","6","1","1","9","9","9","0","0","9","3","31","311","99","99","1","210963","736357"
"53","2021000301","1","1","1","2550","127","138",,"350001",,,,,"52","2021","3","67","4","1","1","3","17","0","2","2","1","4","3","1","1","1","9","9","9","0","0","9","4","44","441","99","16","1","178405","635934"
"54","2021000302","1","1","2","5000","404",,"117",,,,,,"20","2021","2","46","4","1","1","3","12","2","0","1","1","3","3","1","1","1","9","9","9","0","0","9","5","51","511","0","13","1","178797","665356"
"55","2021000311","1","1","1","9000","374","463",,"10970053",,,,,"34","2021","9","64","2","1","2","3","2","3","0","1","1","4","3","1","1","1","9","9","9","0","0","9","6","62","623","0","13","1","178748","574934"
"56","2021000319","1","1","3","0",,,,,"85","0","167","1393","12","2021","5","59","4","1","7","3","3","1","0","4","1","3","3","1","1","1","9","9","9","0","0","9","2","24","242","99","99","1","224033","757900"
"57","2021000325","1","1","1","6200","310","508",,"8040033",,,,,"20","2021","5","59","4","1","1","3","2","1","0","1","1","1","1","1","1","1","9","9","9","0","0","9","5","51","513","0","14","1","176816","658103"
"58","2021000337","1","1","2","9100","411",,"84",,,,,,"12","2021","6","36","4","1","5","3","5","3","0","1","1","3","3","1","1","1","9","9","9","0","0","9","2","24","245","0","15","1","208969","767687"
"59","2021000357","1","1","1","5000","456","916",,"9920422",,,,,"20","2021","4","42","4","1","1","3","1","9","0","0","0","0","5","11","9","9","9","9","9","4","3","9","5","51","511","0","13","1","180176","666045"
"60","2021000363","1","1","2","743",,,"9999",,,,,,"52","2021","4","59","4","1","4","2","10","9","0","0","0","0","5","11","9","9","9","9","9","0","0","9","4","43","432","30","31","2","193712","644170"
"61","2021000374","1","1","1","3000","1451","1452",,"25810842",,,,,"61","2021","11","74","4","5","5","3","2","3","0","1","1","1","3","3","1","1","9","9","9","0","0","9","1","11","111","0","12","1","218005","628901"
"62","2021000384","1","1","4","0",,,,,"375","0","46",,"61","2021","8","37","4","1","5","3","5","3","0","4","1","3","3","1","1","1","9","9","9","0","0","9","1","11","112","99","99","1","199463","621415"
"63","2021000389","1","1","3","0",,,,,"87","888","99","1419","12","2021","8","45","4","1","3","3","2","3","0","4","1","4","3","1","1","1","9","9","9","0","0","9","2","29","293","99","99","1","259623","756670"
"64","2021000406","1","1","4","0",,,,,"25",,"-190",,"34","2021","11","47","4","1","4","2","2","3","0","4","1","3","3","1","1","1","9","9","9","0","0","9","6","62","623","99","99","4","172668","578471"
"65","2021000418","1","1","1","9000","101","531",,"9400021",,,,,"34","2021","6","59","4","1","4","3","2","0","3","1","1","3","3","1","1","1","9","9","9","0","0","9","6","62","623","0","13","1","182311","573605"
"66","2021000433","1","1","1","6200","311","508",,"8000033",,,,,"20","2021","11","86","4","5","6","3","2","3","0","1","1","0","3","4","2","2","9","9","9","0","0","9","5","51","513","0","14","1","176340","656873"
"67","2021000437","1","1","1","8500","747","738",,"10030216",,,,,"52","2021","6","73","4","1","4","3","2","0","3","1","1","3","3","1","1","1","3","4","9","0","0","9","4","43","432","0","15","1","188303","647277"
"68","2021000468","1","1","2","3000","809",,"46",,,,,,"61","2021","8","27","4","1","2","3","5","2","0","1","1","2","3","1","1","2","9","9","9","0","0","9","1","11","111","0","12","1","220038","631299"
"69","2021000470","1","1","2","26","152",,"9999",,,,,,"12","2021","9","45","3","1","4","2","1","3","0","1","1","5","5","1","1","1","9","9","6","8","0","9","2","21","213","99","19","3","251113","763780"
